Question,Answer
What are the limits for personal belongings coverage?,"The policy covers personal belongings lost or damaged by fire, theft, or accident while in or on your car, up to specified limits."
What is the Uninsured Driver Promise?,"If you are hit by an uninsured driver and it’s not your fault, your No Claim Discount will not be affected, and you will not need to pay an excess."
What is the Vandalism Promise?,"If your car is damaged by vandalism and you have reported it to the police, it will not affect your No Claim Discount."
How does the policy cover new car replacement?,"The policy provides new car replacement if your car is stolen and not recovered, or written off within one or two years (depending on cover level)."
What are the limits for hotel expenses?,"The policy covers hotel expenses if you cannot drive your car after an accident or loss, up to specified limits."
What is covered under medical expenses?,"The policy covers medical expenses for injuries resulting from an accident involving your car, up to specified limits."
What are the restrictions for driving abroad?,"The policy covers driving within the territorial limits. For driving abroad, you may need additional cover or a Green Card."
What is the procedure for reporting a theft?,"Report the theft to the police and obtain a crime reference number. Then contact the insurer to make a claim."
How are legal costs handled under Motor Legal Cover?,"Legal costs are covered up to £100,000 per claim, including legal fees, expenses, and other costs agreed by the insurer."
What is the process for recovering costs?,"If costs can be recovered from another party, the insurer will handle the recovery process and reimburse any recovered costs to you."
What are the restrictions for using a courtesy car?,"The courtesy car can only be used within the territorial limits and is subject to the terms of your policy and the hire car company’s terms."
What is the procedure for handling windscreen repairs?,"Contact an approved windscreen supplier for repairs or replacement. If you use a non-approved supplier, the policy will only cover a limited amount."
What are the requirements for car security?,"You must take reasonable steps to secure your car, including locking it, not leaving keys in or on the car, and ensuring security devices are operational."
What happens if my car is stolen and not recovered?,"The insurer will settle the claim based on the market value of the car at the time of the theft. The car will become the insurer's property."
What is the process for settling a claim?,"The insurer will settle claims by repairing, replacing, or paying the market value of the car. Any remaining balance for financed cars will be settled accordingly."
What is the cover for car keys lost or damaged abroad?,"The policy covers the replacement of lost or damaged car keys while driving abroad, subject to specific cover levels and limits."
What are the limits for accidental damage claims?,"Accidental damage claims are covered up to the market value of the car, with specific limits for personal belongings and in-car entertainment equipment."
What is the cover for misfuelling?,"The policy covers damage caused by misfuelling, but does not cover the cost of draining, flushing, or replacing the fuel."
What happens if my car is vandalized?,"If your car is vandalized, it will not affect your No Claim Discount if you report the incident to the police and provide a crime reference number."
What are the exclusions for Motor Legal Cover?,"Motor Legal Cover does not cover claims already covered by the policy, costs not agreed by the insurer, fines, penalties, or claims related to incidents before the cover started."
What are the terms for appointing a legal representative?,"You can choose an appointed representative from the insurer’s preferred law firm or your own choice, subject to the insurer’s terms of appointment."
What is the cover for driving in the Republic of Ireland?,"The policy covers driving in the Republic of Ireland as part of the territorial limits, but additional cover or a Green Card may be needed for extended stays."
What are the restrictions for using hire cars?,"Hire cars can only be used within the territorial limits and must be insured under your policy. The hire car company’s terms and conditions also apply."
What is the process for cancelling Guaranteed Hire Car Plus?,"You can cancel Guaranteed Hire Car Plus within 14 days for a full refund if no hire car was provided. After 14 days, a pro-rata refund will be given unless a hire car was provided."
How does the policy handle automated car updates?,"You must keep the software of your automated car up to date and not modify it other than in accordance with the manufacturer’s instructions."
What are the conditions for protected no claim discount?,"Protected No Claim Discount allows you to make up to 2 claims in 3 years without affecting your discount, but does not guarantee your premium will not increase."
What is the cover for personal accident?,"The policy covers personal accident benefits for the policyholder and their partner if they are injured or killed in a car accident involving the insured car."
What is the cover for motor contract disputes?,"Motor Legal Cover provides up to £100,000 for legal costs to pursue or defend a breach of contract claim related to buying or selling your car."
What is the cover for motoring prosecution defense?,"Motor Legal Cover provides up to £100,000 for legal costs to defend you in a criminal court if you are prosecuted for a motoring offence."
What are the exclusions for accidental damage?,"The policy does not cover accidental damage if the driver is convicted for driving under the influence of drink or drugs, or if the damage is due to wear and tear."
What is the cover for windscreen recalibration?,"The policy covers recalibration of your car’s ADAS (Advanced Driver Assistance System) related to the repair or replacement of the windscreen."
What are the limits for travel expenses?,"The policy covers up to £50 per day for travel expenses, up to a total of £500 per claim, if a hire car is not available or suitable."
What is the process for appealing a claim decision?,"If you disagree with a claim decision, you can appeal by providing additional information or evidence to support your case."
What are the conditions for vehicle documentation?,"You must provide accurate and complete information in your vehicle documentation and keep it up to date to ensure cover is valid."
What is the process for getting a crime reference number?,"Report the incident to the police and request a crime reference number, which you will need to provide to the insurer when making a claim."
What is the cover for personal belongings in a hire car?,"The policy covers personal belongings in a hire car if they are lost or damaged by fire, theft, or accident, up to specified limits."
What is the procedure for handling lost car keys?,"Report the loss to the insurer and provide any necessary documentation. The policy covers the replacement of lost car keys and the locks they fit."
What are the conditions for using a replacement car?,"The replacement car can only be used within the territorial limits and is subject to the terms of your policy and the hire car company’s terms."
What is the cover for emergency travel costs?,"The policy covers emergency travel costs if you are unable to use your car due to an insured incident, up to specified limits."
What are the exclusions for personal benefits?,"The policy does not cover personal benefits if the incident is caused by suicide, attempted suicide, or if the driver is convicted for driving under the influence of drink or drugs."
What is the procedure for making a legal claim?,"Contact the Motor Legal Cover helpline and provide details of the incident. The insurer will assess your claim and appoint a legal representative if necessary."
What are the limits for uninsured loss recovery?,"Motor Legal Cover provides up to £100,000 for legal costs to recover uninsured losses from the party at fault in a road traffic accident."
What is the cover for child car seats?,"The policy covers the replacement of child car seats if they are damaged by fire, theft, or an accident, even if there is no apparent damage."
What are the conditions for using an approved repairer?,"Repairs carried out by an approved repairer come with a 5-year guarantee on parts, materials, and workmanship. You do not need an estimate if using an approved repairer."
What is the cover for home charging cables?,"Home charging cables are covered under 'Section 2: Fire and theft' or 'Section 4: Accidental damage' as an accessory to your car."
What are the exclusions for business use?,"The policy does not cover the use of the car for purposes not allowed by the policy, such as carrying goods or passengers for hire or reward."
What is the cover for injuries to other people?,"The policy covers legal liability for injuries to other people caused by an accident involving your car."
What are the conditions for making a claim abroad?,"The policy covers driving within the territorial limits. For claims abroad, you may need to provide additional documentation or obtain a Green Card."
What is the process for paying the excess?,"You will need to pay the excess specified in your car insurance details when making a claim. The amount may vary depending on the type of claim."
What are the conditions for hiring a car after theft?,"If your car is stolen and not recovered, the policy provides a hire car for up to 21 days or until your claim is settled, whichever is shorter."
What are the restrictions for using the car for business?,"The policy covers business use if specified on your certificate of motor insurance, but does not cover carrying goods or passengers for hire or reward."
What is the cover for trailer towing?,"The policy covers legal liability for accidents caused by a trailer or vehicle being towed by your car."
What are the exclusions for using a car outside the UK?,"The policy does not cover driving outside the territorial limits without additional cover or a Green Card. Check the 'Where you can drive' section for details."
What is the cover for legal fees?,"Motor Legal Cover provides up to £100,000 for legal fees, expenses, and other costs agreed by the insurer for pursuing or defending a legal claim."
What are the conditions for no claim discount?,"The No Claim Discount allows you to receive a discount on your premium for each year you do not make a claim. The discount may be protected with an additional premium."
What is the process for reporting an accident?,"Contact the claims helpline and provide your personal details, policy number, car registration number, and a description of the incident. Report the accident to the police if required."
